source,#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
,#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
Amherst,1.0,"Day, Garrett 1 Day, Garrett",24.0,23.0,673,28.0,114,323,0.353,72,219,0.329,68,77,0.883,368,15.3,10,66,76,3.2,38,34,43,32,2,View Bio
Amherst,11.0,"Robinson, Grant 11 Robinson, Grant",20.0,19.0,590,29.5,96,257,0.374,30,87,0.345,55,64,0.859,277,13.9,10,85,95,4.8,22,75,32,20,5,View Bio
Amherst,15.0,"McCarthy, Tim 15 McCarthy, Tim",11.0,8.0,263,23.9,42,98,0.429,28,67,0.418,4,5,0.8,116,10.5,5,31,36,3.3,16,15,10,10,1,View Bio
Amherst,2.0,"Reynolds, Canin 2 Reynolds, Canin",18.0,4.0,353,19.6,46,144,0.319,26,90,0.289,11,15,0.733,129,7.2,3,38,41,2.3,21,36,27,19,1,View Bio
Amherst,13.0,"Schretter, Michael 13 Schretter, Michael",24.0,23.0,475,19.8,67,115,0.583,0,3,0.0,18,29,0.621,152,6.3,60,79,139,5.8,52,32,36,5,11,View Bio
Amherst,23.0,"Vance, Ryker 23 Vance, Ryker",19.0,14.0,345,18.2,43,76,0.566,1,5,0.2,30,46,0.652,117,6.2,40,48,88,4.6,24,13,12,7,21,View Bio
Amherst,5.0,"Alausa, Mohammed 5 Alausa, Mohammed",18.0,1.0,193,10.7,29,62,0.468,5,22,0.227,20,27,0.741,83,4.6,9,35,44,2.4,16,8,14,3,5,View Bio
Amherst,21.0,"Oranye, Beluolisah 21 Oranye, Beluolisah",9.0,0.0,108,12.0,17,24,0.708,0,0,0.0,7,14,0.5,41,4.6,11,23,34,3.8,14,8,8,1,4,View Bio
Amherst,40.0,"Scherer, Will 40 Scherer, Will",22.0,6.0,270,12.3,44,69,0.638,0,0,0.0,8,20,0.4,96,4.4,34,66,100,4.5,46,11,22,7,22,View Bio
